"","game_str","play_per_game","play_id","timestamp","player_position","field_x","field_y","event_code","inning","top_bottom","batter","batter_hand"
"1","1883_001_Vis4AB_Home4A",103,103,3602402,10,3.0771,-0.657,1,4,"bottom",467,"R"
"2","1883_001_Vis4AB_Home4A",104,104,3614702,10,3.0036,-0.6186,1,4,"bottom",467,"R"
"3","1883_001_Vis4AB_Home4A",105,105,3626102,10,3.1266,-0.2073,1,4,"bottom",467,"R"
"4","1883_001_Vis4AB_Home4A",106,106,3651152,10,2.8908,-0.3,1,4,"bottom",467,"R"
"5","1883_001_Vis4AB_Home4A",107,107,3669252,10,2.0673,0.2571,1,4,"bottom",467,"R"
"6","1883_001_Vis4AB_Home4A",108,108,3720652,10,-2.4417,-1.4241,1,4,"bottom",383,"L"
"7","1883_001_Vis4AB_Home4A",109,109,3733302,10,-2.385,-1.2522,1,4,"bottom",383,"L"
"8","1883_001_Vis4AB_Home4A",110,110,3749402,10,-2.2209,-1.0101,1,4,"bottom",383,"L"
"9","1883_001_Vis4AB_Home4A",111,111,3774852,10,-2.9409,0.0501,1,4,"bottom",383,"L"
"10","1883_001_Vis4AB_Home4A",112,112,3799102,10,-2.1633,-0.4401,1,4,"bottom",383,"L"
"11","1883_001_Vis4AB_Home4A",113,113,3830052,10,-2.8092,-0.2796,1,4,"bottom",383,"L"
"12","1883_001_Vis4AB_Home4A",114,114,3846302,10,-2.8035,-0.651,1,4,"bottom",383,"L"
"13","1883_001_Vis4AB_Home4A",115,115,3881502,10,2.8335,-0.3249,1,4,"bottom",991,"R"
"14","1883_001_Vis4AB_Home4A",116,116,3896402,10,3.1137,-0.5715,1,4,"bottom",991,"R"
"15","1883_001_Vis4AB_Home4A",117,117,3929952,10,-2.8071,1.1106,1,4,"bottom",461,"L"
"16","1883_001_Vis4AB_Home4A",118,118,3943802,10,-3.2391,1.3179,1,4,"bottom",461,"L"
"17","1883_001_Vis4AB_Home4A",119,119,3959052,10,-2.8461,-0.7014,1,4,"bottom",461,"L"
"18","1883_001_Vis4AB_Home4A",120,120,3973302,10,-2.8071,1.1106,1,4,"bottom",461,"L"
"19","1883_001_Vis4AB_Home4A",121,121,3987902,10,-2.9109,0.9459,1,4,"bottom",461,"L"
"20","1883_001_Vis4AB_Home4A",122,122,4000952,10,-2.5374,-0.7194,1,4,"bottom",461,"L"
"21","1883_001_Vis4AB_Home4A",123,123,4018102,10,-2.8293,-0.8172,1,4,"bottom",461,"L"
"22","1883_001_Vis4AB_Home4A",141,141,4712552,10,2.5887,1.0326,1,5,"bottom",586,"R"
"23","1883_001_Vis4AB_Home4A",142,142,4724902,10,3.171,-0.5469,1,5,"bottom",586,"R"
"24","1883_001_Vis4AB_Home4A",143,143,4764102,10,-2.6631,1.041,1,5,"bottom",624,"L"
"25","1883_001_Vis4AB_Home4A",144,144,4779052,10,-2.397,0.6447,1,5,"bottom",624,"L"
"26","1883_001_Vis4AB_Home4A",145,145,4795002,10,-2.358,0.7872,1,5,"bottom",624,"L"
"27","1883_001_Vis4AB_Home4A",146,146,4813902,10,-2.9274,1.5273,1,5,"bottom",624,"L"
"28","1883_001_Vis4AB_Home4A",147,147,4851002,10,3.1392,0.1599,1,5,"bottom",392,"R"
"29","1883_001_Vis4AB_Home4A",148,148,4866602,10,2.7474,0.7383,1,5,"bottom",392,"R"
"30","1883_001_Vis4AB_Home4A",149,149,4880602,10,2.9259,0.8088,1,5,"bottom",392,"R"
"31","1883_001_Vis4AB_Home4A",150,150,4892952,10,2.8167,-0.2094,1,5,"bottom",392,"R"
"32","1883_001_Vis4AB_Home4A",19,19,536752,10,-2.4789,-0.4965,1,1,"bottom",624,"L"
"33","1883_001_Vis4AB_Home4A",20,20,552102,10,-2.4174,1.1379,1,1,"bottom",624,"L"
"34","1883_001_Vis4AB_Home4A",21,21,572352,10,-2.5284,0.1935,1,1,"bottom",624,"L"
"35","1883_001_Vis4AB_Home4A",22,22,608352,10,2.9259,0.8088,1,1,"bottom",392,"R"
"36","1883_001_Vis4AB_Home4A",23,23,623452,10,2.7081,1.0794,1,1,"bottom",392,"R"
"37","1883_001_Vis4AB_Home4A",24,24,640052,10,2.8665,0.7851,1,1,"bottom",392,"R"
"38","1883_001_Vis4AB_Home4A",25,25,656752,10,2.1573,0.9813,1,1,"bottom",392,"R"
"39","1883_001_Vis4AB_Home4A",26,26,685052,10,-2.8254,-0.5355,1,1,"bottom",636,"L"
"40","1883_001_Vis4AB_Home4A",27,27,696902,10,-3.5352,0.0663,1,1,"bottom",636,"L"
"41","1883_001_Vis4AB_Home4A",28,28,712102,10,-2.8923,-0.1872,1,1,"bottom",636,"L"
"42","1883_001_Vis4AB_Home4A",29,29,730702,10,-2.8866,0.4515,1,1,"bottom",636,"L"
"43","1883_001_Vis4AB_Home4A",30,30,751502,10,-2.925,0.3093,1,1,"bottom",636,"L"
"44","1883_001_Vis4AB_Home4A",31,31,767952,10,-3.396,0.3729,1,1,"bottom",636,"L"
"45","1883_001_Vis4AB_Home4A",32,32,809102,10,-2.7042,-0.4878,1,1,"bottom",652,"L"
"46","1883_001_Vis4AB_Home4A",33,33,835952,10,-3.0384,-0.1167,1,1,"bottom",652,"L"
"47","1883_001_Vis4AB_Home4A",35,35,892902,10,-3.6864,-0.4977,1,1,"bottom",652,"L"
"48","1883_001_Vis4AB_Home4A",48,48,1458002,10,2.9028,0.0669,1,2,"bottom",467,"R"
"49","1883_001_Vis4AB_Home4A",49,49,1471952,10,2.7843,0.0201,1,2,"bottom",467,"R"
"50","1883_001_Vis4AB_Home4A",50,50,1497252,10,2.3838,-0.63,1,2,"bottom",467,"R"
"51","1883_001_Vis4AB_Home4A",51,51,1533302,10,-2.3928,-1.2726,1,2,"bottom",383,"L"
"52","1883_001_Vis4AB_Home4A",52,52,1574202,10,2.3448,-0.9402,1,2,"bottom",991,"R"
"53","1883_001_Vis4AB_Home4A",53,53,1629852,10,-2.9193,-0.1407,1,2,"bottom",461,"L"
"54","1883_001_Vis4AB_Home4A",54,54,1649852,10,-3.1116,-0.3762,1,2,"bottom",461,"L"
"55","1883_001_Vis4AB_Home4A",55,55,1686202,10,-2.7297,-0.1005,1,2,"bottom",461,"L"
"56","1883_001_Vis4AB_Home4A",56,56,1709602,10,-2.7393,-0.1206,1,2,"bottom",461,"L"
"57","1883_001_Vis4AB_Home4A",57,57,1739702,10,-2.8482,0.3276,1,2,"bottom",461,"L"
"58","1883_001_Vis4AB_Home4A",58,58,1779302,10,-2.7267,0.0714,1,2,"bottom",461,"L"
"59","1883_001_Vis4AB_Home4A",59,59,1820602,10,3.192,-0.3084,1,2,"bottom",586,"R"
"60","1883_001_Vis4AB_Home4A",60,60,1846602,10,2.8401,0.7605,1,2,"bottom",586,"R"
"61","1883_001_Vis4AB_Home4A",61,61,1880652,10,3.5364,0.4389,1,2,"bottom",586,"R"
"62","1883_001_Vis4AB_Home4A",75,75,2486452,10,-2.7936,0.0405,1,3,"bottom",624,"L"
"63","1883_001_Vis4AB_Home4A",76,76,2504452,10,-2.9415,0.0351,1,3,"bottom",624,"L"
"64","1883_001_Vis4AB_Home4A",77,77,2527402,10,-2.8131,0.6612,1,3,"bottom",624,"L"
"65","1883_001_Vis4AB_Home4A",78,78,2564752,10,2.91,-0.2349,1,3,"bottom",392,"R"
"66","1883_001_Vis4AB_Home4A",79,79,2576452,10,2.6157,0.8043,1,3,"bottom",392,"R"
"67","1883_001_Vis4AB_Home4A",80,80,2590602,10,2.5491,-0.0921,1,3,"bottom",392,"R"
"68","1883_001_Vis4AB_Home4A",81,81,2634152,10,-3.8946,-0.4518,1,3,"bottom",636,"L"
"69","1883_001_Vis4AB_Home4A",82,82,2654852,10,-2.7564,-1.0008,1,3,"bottom",636,"L"
"70","1883_001_Vis4AB_Home4A",83,83,2682102,10,-3.0768,-0.2574,1,3,"bottom",636,"L"
"71","1883_001_Vis4AB_Home4A",85,85,2741802,10,-2.8536,-0.9912,1,3,"bottom",636,"L"
"72","1883_001_Vis4AB_Home4A",86,86,2802652,10,-2.6418,-1.0647,1,3,"bottom",652,"L"
"73","1883_001_Vis4AB_Home4A",87,87,2830502,10,-2.7147,-0.9663,1,3,"bottom",652,"L"
"74","1883_001_Vis4AB_Home4A",88,88,2864202,10,-2.6286,-0.2061,1,3,"bottom",652,"L"
"75","1883_001_Vis4AB_Home4A",90,90,2917452,10,-2.5542,-0.7587,1,3,"bottom",652,"L"
"76","1883_001_Vis4AB_Home4A",91,91,2956702,10,-2.5128,-0.6645,1,3,"bottom",652,"L"
"77","1883_001_Vis4AB_Home4A",92,92,2992202,10,-3.0768,-0.2574,1,3,"bottom",652,"L"
"78","1883_001_Vis4AB_Home4A",93,93,3024852,10,-2.8824,-1.5339,1,3,"bottom",652,"L"
"79","1883_002_Vis4AB_Home4A",18,18,582236,10,-3.4227,0.8676,1,1,"bottom",624,"L"
"80","1883_002_Vis4AB_Home4A",19,19,598086,10,-2.7081,0.2562,1,1,"bottom",624,"L"
"81","1883_002_Vis4AB_Home4A",20,20,624086,10,-2.9409,0.8976,1,1,"bottom",624,"L"
"82","1883_002_Vis4AB_Home4A",21,21,673386,10,2.4693,0.9855,1,1,"bottom",392,"R"
"83","1883_002_Vis4AB_Home4A",22,22,685536,10,2.8902,-0.2211,1,1,"bottom",392,"R"
"84","1883_002_Vis4AB_Home4A",23,23,705386,10,3.0315,0.4848,1,1,"bottom",392,"R"
"85","1883_002_Vis4AB_Home4A",24,24,727436,10,3.1113,0.8106,1,1,"bottom",392,"R"
"86","1883_002_Vis4AB_Home4A",25,25,752686,10,3.2388,0.7659,1,1,"bottom",392,"R"
"87","1883_002_Vis4AB_Home4A",26,26,791786,10,-3.2829,-0.819,1,1,"bottom",636,"L"
"88","1883_002_Vis4AB_Home4A",28,28,828436,10,-2.9229,-0.7005,1,1,"bottom",636,"L"
"89","1883_002_Vis4AB_Home4A",29,29,851636,10,-3.8301,0.5781,1,1,"bottom",636,"L"
"90","1883_002_Vis4AB_Home4A",30,30,876486,10,-3.1701,-0.6909,1,1,"bottom",636,"L"
"91","1883_002_Vis4AB_Home4A",31,31,900486,10,-3.0972,-0.7278,1,1,"bottom",636,"L"
"92","1883_002_Vis4AB_Home4A",32,32,945436,10,-2.025,-1.1199,1,1,"bottom",383,"L"
"93","1883_003_Vis1AB_Home1A",111,111,3894498,10,2.3364,-1.2189,1,4,"bottom",594,"R"
"94","1883_003_Vis1AB_Home1A",112,112,3940648,10,-2.7537,-0.7878,1,4,"bottom",594,"L"
"95","1883_003_Vis1AB_Home1A",113,113,3952948,10,-2.7084,-0.6147,1,4,"bottom",594,"L"
"96","1883_003_Vis1AB_Home1A",114,114,3975748,10,-2.6124,-0.7293,1,4,"bottom",594,"L"
"97","1883_003_Vis1AB_Home1A",115,115,4009848,10,-2.3304,-0.4293,1,4,"bottom",492,"L"
"98","1883_003_Vis1AB_Home1A",116,116,4040148,10,2.4102,-0.7281,1,4,"bottom",492,"R"
